year_month,count
2017-03,205
2017-04,171
2017-05,97
2017-06,134
2017-07,172
2017-08,115
2017-09,221
2017-10,30
2017-11,34
2017-12,16
2018-01,23
2018-02,22
2018-03,16
2018-04,77
2018-05,57
2018-06,48
2018-07,75
2018-08,74
2018-09,116
2018-10,129
2018-11,169
2018-12,163
2019-01,178
2019-02,162
2019-03,253
2019-04,349
2019-05,199
2019-06,148
2019-07,160
2019-08,138
2019-09,331
2019-10,422
2019-11,541
2019-12,1033
2020-01,2093
2020-02,1455
2020-03,1193
2020-04,1655
2020-05,1532
2020-06,1848
2020-07,2430
2020-08,2227
2020-09,2021
2020-10,1360
2020-11,1225
2020-12,2271
2021-01,1677
2021-02,1332
2021-03,1272
2021-04,852
2021-05,969
2021-06,1418
2021-07,1049
2021-08,731
2021-09,571
2021-10,562
2021-11,539
2021-12,586
2022-01,673
2022-02,650
2022-03,604
2022-04,611
2022-05,937
2022-06,1336
2022-07,1203
2022-08,1080
2022-09,769
2022-10,978
2022-11,831
2022-12,923
2023-01,1038
2023-02,2366
2023-03,1169
2023-04,1005
2023-05,712
2023-06,476
2023-07,454
2023-08,447
2023-09,346
2023-10,458
2023-11,502
2023-12,608
2024-01,593
2024-02,540
2024-03,297
